,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
99,legasea-seafood-brasserie-new-york-2,4.0,228,4.0,15,21,25,56,111,7,4.43,0,1,0,1,5,$50 and over,Seafood
100,stk-midtown-new-york,3.5,844,3.51,101,92,158,261,232,20,3.1,4,2,5,6,3,$31 to $50,Steakhouse
101,esca-new-york,3.0,686,3.21,118,125,108,165,170,3,3.67,0,1,0,1,1,$30 and under,Italian
102,the-leopard-at-des-artistes-new-york,4.0,205,3.84,12,21,31,64,77,1,5.0,0,0,0,0,1,$50 and over,Italian
103,21-club-new-york,3.5,585,3.57,61,73,102,171,178,10,3.8,0,2,1,4,3,$50 and over,American
104,benoit-new-york,3.5,423,3.52,40,54,81,140,108,4,3.25,0,2,0,1,1,$31 to $50,French
105,dadong-new-york-new-york,3.0,498,2.97,152,72,59,70,145,26,2.81,9,4,3,3,7,$31 to $50,Chinese
106,lincoln-square-steak-new-york,4.5,760,4.37,39,41,58,86,536,5,3.2,2,0,0,1,2,$50 and over,Steakhouse
107,club-a-steakhouse-new-york,4.5,2546,4.39,80,84,236,514,1632,15,4.2,1,2,0,2,10,$31 to $50,Steakhouse
108,anassa-taverna-new-york,3.5,276,3.47,36,32,46,91,71,1,5.0,0,0,0,0,1,$31 to $50,Greek
109,cafe-d-alsace-new-york,4.0,1128,3.91,45,81,164,481,357,14,4.07,1,2,0,3,8,$31 to $50,French
110,burke-and-wills-new-york,4.0,391,4.2,13,21,34,130,193,5,4.4,0,0,0,3,2,$31 to $50,Other
111,boucherie-west-village-new-york-3,4.5,1015,4.43,40,44,55,175,701,47,4.26,2,4,3,9,29,$31 to $50,French
112,natsumi-new-york-3,4.0,782,3.82,48,75,120,268,271,5,4.4,0,0,0,3,2,$31 to $50,Japanese & Koren
113,armani-ristorante-new-york,4.0,208,3.81,21,15,27,65,80,5,3.6,0,0,3,1,1,$31 to $50,Italian
114,brasserie-ruhlmann-new-york,3.0,251,3.21,44,28,54,81,44,2,3.5,0,1,0,0,1,$31 to $50,French
115,docks-oyster-bar-and-seafood-grill-new-york,3.5,572,3.31,65,95,126,167,119,8,3.25,1,2,1,2,2,$31 to $50,Seafood
116,chez-josephine-new-york,4.0,451,3.76,36,47,68,140,160,6,3.5,2,0,0,1,3,$31 to $50,French
117,brasserie-8-1-2-new-york-2,3.5,421,3.65,24,46,89,157,105,5,4.0,0,1,0,2,2,$31 to $50,French
118,churrascaria-plataforma-new-york-3,4.0,1287,4.09,57,72,166,396,596,23,4.0,2,2,1,7,11,$50 and over,Steakhouse
119,riverpark-new-york,4.0,751,4.0,40,40,98,277,296,7,4.57,0,0,0,3,4,$31 to $50,American
120,casa-nonna-new-york-2,4.0,490,3.94,21,48,70,153,198,7,3.57,0,2,0,4,1,$31 to $50,Italian
121,farmer-and-the-fish-gramercy-new-york,3.5,265,3.52,40,28,47,55,95,11,3.82,1,1,1,4,4,$30 and under,Other
122,the-sea-grill-new-york,4.0,343,3.76,20,32,65,118,108,10,4.1,0,1,1,4,4,$31 to $50,Seafood
123,bar-italia-astoria-4,4.0,399,4.04,25,35,34,111,194,2,4.5,0,0,0,1,1,$31 to $50,Italian
124,strip-house-new-york-13,4.0,942,3.96,58,68,124,291,401,3,3.67,1,0,0,0,2,$50 and over,Steakhouse
125,maiella-long-island-city,4.0,743,4.22,43,50,69,120,461,25,3.92,0,5,4,4,12,$31 to $50,Italian
126,storico-new-york,4.0,196,3.8,13,18,30,69,66,2,5.0,0,0,0,0,2,$31 to $50,Italian
127,naples-45-ristorante-e-pizzeria-new-york,3.0,347,3.24,27,54,109,122,35,3,4.33,0,0,0,2,1,$30 and under,Italian
128,la-sirena-ristorante-new-york-3,3.5,334,3.46,28,57,74,84,91,10,3.8,0,1,2,5,2,$31 to $50,Italian
129,benjamin-prime-new-york-2,4.5,214,4.48,9,3,21,25,156,9,4.11,1,0,2,0,6,$50 and over,American
130,david-burke-tavern-new-york,4.0,150,3.84,20,14,13,26,77,7,4.57,0,0,0,3,4,$31 to $50,American
131,michaels-new-york-10,3.5,194,3.34,38,26,24,45,61,2,3.0,1,0,0,0,1,$31 to $50,American
132,le-coq-rico-new-york,4.0,303,3.87,21,27,47,84,124,8,4.0,0,0,2,4,2,$31 to $50,French
133,daniel-new-york-4,4.5,1504,4.52,20,63,97,261,1063,6,4.83,0,0,0,1,5,$31 to $50,French
134,barbetta-new-york,3.5,215,3.31,42,30,30,46,67,1,2.0,0,1,0,0,0,$31 to $50,Italian
135,pera-mediterranean-brasserie-new-york,3.5,384,3.44,36,49,89,131,79,4,2.75,1,1,1,0,1,$31 to $50,Mediterranean
136,the-whitby-bar-and-restaurant-new-york,3.5,58,3.69,5,7,11,13,22,3,3.67,0,0,1,2,0,$31 to $50,American
137,fig-and-olive-uptown-new-york-3,3.5,394,3.48,29,54,88,143,80,2,4.5,0,0,0,1,1,$31 to $50,Mediterranean
138,monkey-bar-new-york,3.5,267,3.47,25,35,53,97,57,4,2.5,2,0,1,0,1,$50 and over,American
139,rock-center-cafe-new-york,3.0,465,2.92,103,71,116,109,66,10,3.3,3,0,1,3,3,$31 to $50,Contemporary American
140,obicà-mozzarella-bar-pizza-e-cucina-new-york-6,4.0,398,3.81,34,35,51,130,148,7,4.0,1,0,0,3,3,$31 to $50,Italian
141,etcetera-etcetera-new-york,4.0,406,3.97,17,30,63,136,160,0,,0,0,0,0,0,$31 to $50,Italian
142,cafe-centro-new-york-8,3.5,149,3.47,7,24,40,48,30,0,,0,0,0,0,0,$31 to $50,French
143,periyali-new-york,4.0,249,3.84,18,10,42,102,77,1,4.0,0,0,0,1,0,$31 to $50,Greek
144,shun-lee-west-and-cafe-new-york-2,2.5,446,2.74,124,89,76,94,63,4,2.5,2,0,1,0,1,$31 to $50,Chinese
145,haru-sushi-new-york-16,3.5,683,3.58,59,72,131,255,166,4,3.25,1,0,1,1,1,$31 to $50,Japanese & Koren
146,zengo-new-york,3.5,921,3.58,87,90,178,334,232,8,3.75,0,1,2,3,2,$31 to $50,Asian
147,manzo-ristorante-new-york-3,3.5,310,3.74,26,31,45,104,104,2,3.5,0,0,1,1,0,$31 to $50,Italian
148,bagatelle-new-york-new-york-2,3.5,677,3.4,130,78,84,162,223,3,2.33,1,1,0,1,0,$31 to $50,French
149,trattoria-zero-otto-nove-bronx,4.0,700,4.08,31,51,78,211,329,10,4.3,0,1,1,2,6,$31 to $50,Italian
150,ortzi-new-york-3,4.0,77,3.91,8,4,8,24,33,4,3.75,1,0,0,1,2,$31 to $50,Spanish
151,american-cut-steakhouse-tribeca-new-york,4.0,536,3.88,40,43,78,156,219,10,3.0,2,2,1,4,1,$31 to $50,Steakhouse
152,maloney-and-porcelli-new-york,4.0,433,3.79,37,37,59,148,152,1,1.0,1,0,0,0,0,$50 and over,American
153,royal-35-steakhouse-new-york,4.5,164,4.56,5,5,11,15,128,5,4.2,0,0,1,2,2,$50 and over,Steakhouse
154,chazz-palminteri-italian-restaurant-new-york-2,4.0,212,3.96,19,17,27,39,110,11,4.18,0,1,2,2,6,$50 and over,Italian
155,bodega-negra-new-york,3.5,595,3.59,77,65,85,167,201,8,3.75,0,1,2,3,2,$50 and over,Mexican
156,dos-caminos-new-york-2,3.0,1473,3.2,182,253,358,452,228,11,2.73,5,1,0,2,3,$31 to $50,Mexican
157,barraca-new-york,3.5,644,3.68,62,75,88,199,220,8,2.12,3,3,1,0,1,$31 to $50,Spanish
158,gabriels-bar-and-restaurant-new-york,4.0,151,4.0,5,17,15,50,64,1,2.0,0,1,0,0,0,$50 and over,Italian
159,the-cecil-steakhouse-new-york,3.5,90,3.51,16,9,11,21,33,3,3.67,1,0,0,0,2,$31 to $50,American
160,dos-caminos-new-york-3,3.0,951,3.18,150,136,211,302,152,9,3.11,2,1,2,2,2,$31 to $50,Mexican
161,bobby-vans-grill-jamaica,2.5,280,2.52,87,60,59,49,25,3,2.67,1,1,0,0,1,$31 to $50,American
162,untitled-at-the-whitney-new-york-3,4.0,276,4.05,14,18,33,86,125,5,4.0,0,1,0,2,2,$31 to $50,American
163,bedford-and-co-new-york-20,4.0,211,3.83,10,26,32,64,79,5,4.0,0,1,0,2,2,$31 to $50,Contemporary American
164,pampano-new-york,4.0,546,3.8,28,54,84,214,166,6,4.33,0,1,0,1,4,$31 to $50,Mexican
165,cipriani-new-york-2,3.5,99,3.56,15,8,14,31,31,0,,0,0,0,0,0,$31 to $50,Italian
166,lugo-cucina-new-york-2,3.5,305,3.41,28,44,66,110,57,2,3.0,1,0,0,0,1,$31 to $50,Italian
167,rouge-tomate-chelsea-new-york,4.0,123,3.95,6,12,19,31,55,11,3.36,3,1,0,3,4,$31 to $50,Contemporary American
168,socarrat-paella-bar-chelsea-new-york-3,4.0,1095,3.76,53,105,180,472,285,10,4.0,1,0,2,2,5,$31 to $50,Spanish
169,bann-restaurant-new-york-4,3.5,599,3.6,48,69,107,225,150,6,4.33,0,1,0,1,4,$31 to $50,Japanese & Koren
170,socarrat-paella-bar-chelsea-new-york-3,4.0,1095,3.76,53,105,180,472,285,10,4.0,1,0,2,2,5,$31 to $50,Spanish
171,high-street-on-hudson-new-york,4.0,372,3.78,30,29,61,125,127,9,3.11,1,3,0,4,1,$31 to $50,Contemporary American
172,hanjan-new-york,4.0,392,3.77,31,32,66,129,134,2,4.0,0,0,1,0,1,$31 to $50,Japanese & Koren
173,le-colonial-new-york,3.5,260,3.35,29,34,65,82,50,9,1.67,6,1,1,1,0,$31 to $50,Southeast Asian
174,delmonicos-kitchen-new-york-3,3.5,321,3.49,33,49,63,81,95,0,,0,0,0,0,0,$31 to $50,American
175,mortons-the-steakhouse-new-york-2,4.0,476,3.89,28,45,64,151,188,8,4.62,0,0,1,1,6,$50 and over,Steakhouse
176,teds-montana-grill-new-york-new-york,3.5,352,3.47,26,51,85,112,78,2,5.0,0,0,0,0,2,$31 to $50,American
177,trattoria-italienne-new-york,4.5,113,4.3,5,5,11,22,70,5,5.0,0,0,0,0,5,$30 and under,Italian
178,felice-64-new-york,3.5,280,3.73,21,28,41,107,83,1,5.0,0,0,0,0,1,$31 to $50,Italian
179,shun-lee-palace-new-york,3.0,273,3.03,56,50,47,71,49,3,2.0,1,1,1,0,0,$31 to $50,Chinese
180,aretskys-patroon-new-york-2,4.0,211,3.99,10,11,33,74,83,1,4.0,0,0,0,1,0,$31 to $50,American
181,frankie-and-johnnies-steakhouse-new-york-4,3.5,225,3.55,27,35,25,64,74,4,3.5,1,0,1,0,2,$31 to $50,Steakhouse
182,davios-northern-italian-steakhouse-new-york,4.0,267,3.99,19,18,37,65,128,3,4.33,0,0,1,0,2,$31 to $50,Steakhouse
