,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
257,lupa-new-york,4.0,1447,4.04,48,100,189,523,587,6,4.17,0,0,0,5,1,$31 to $50,Italian
258,claudette-new-york,4.0,338,3.97,15,21,54,118,130,3,3.67,0,1,0,1,1,$30 and under,French
259,empellón-taqueria-new-york,3.5,661,3.67,44,77,125,222,193,2,3.0,1,0,0,0,1,$31 to $50,Mexican
260,perry-st-new-york,4.0,908,3.96,32,74,140,314,348,7,3.29,1,1,1,3,1,$31 to $50,Contemporary American
261,boucherie-west-village-new-york-3,4.5,1015,4.43,40,44,55,175,701,47,4.26,2,4,3,9,29,$31 to $50,French
262,indochine-new-york,3.5,352,3.48,40,28,83,124,77,6,3.5,0,1,2,2,1,$50 and over,Southeast Asian
263,el-vez-new-york,3.5,583,3.58,41,71,119,211,141,7,4.57,0,0,0,3,4,$30 and under,Mexican
264,public-kitchen-new-york-2,3.5,165,3.64,19,23,22,35,66,5,3.6,0,1,1,2,1,$31 to $50,Other
265,tamarind-new-york-4,4.0,832,3.94,60,64,105,244,359,14,3.71,1,2,1,6,4,$31 to $50,Indian
266,the-stanton-social-new-york,4.0,2770,3.8,162,225,444,1106,833,9,4.11,0,0,1,6,2,$31 to $50,Other
267,hearth-new-york,4.0,683,3.81,40,69,119,209,246,7,3.14,0,3,1,2,1,$50 and over,American
268,sarabeths-tribeca-new-york,3.5,643,3.37,63,97,148,209,126,7,3.86,0,0,3,2,2,$30 and under,American
269,leuca-brooklyn,4.0,279,3.95,21,27,30,68,133,6,4.5,0,0,1,1,4,$31 to $50,Italian
270,sant-ambroeus-new-york-4,3.5,130,3.55,23,8,17,38,44,5,2.8,1,1,1,2,0,$31 to $50,Italian
271,il-cantinori-new-york,4.0,235,3.76,19,35,22,66,93,1,5.0,0,0,0,0,1,$50 and over,Italian
272,mr-chow-new-york,3.0,328,3.01,73,52,65,74,64,3,2.0,2,0,0,1,0,$50 and over,Chinese
273,narcissa-new-york,3.5,481,3.74,34,46,78,175,148,7,4.14,0,0,2,2,3,$31 to $50,Contemporary American
274,il-mulino-new-york-downtown-new-york-2,4.0,517,4.1,35,42,51,98,291,1,3.0,0,0,1,0,0,$50 and over,Italian
275,sant-ambroeus-new-york,4.0,353,3.93,30,19,49,102,153,2,3.5,0,0,1,1,0,$31 to $50,Italian
276,pig-and-khao-new-york,4.0,1429,3.95,63,111,203,505,547,28,3.75,5,0,3,9,11,$31 to $50,Southeast Asian
277,little-park-new-york,4.0,332,3.83,24,26,54,108,120,4,3.5,0,1,1,1,1,$31 to $50,Contemporary American
278,neta-new-york,4.0,358,3.85,25,35,55,95,148,10,2.6,3,2,2,2,1,$50 and over,Japanese & Koren
279,tutto-il-giorno-new-york-2,3.5,80,3.73,9,7,15,15,34,0,,0,0,0,0,0,$50 and over,Italian
280,bobo-new-york,4.0,486,3.76,35,51,76,158,166,5,4.6,0,0,0,2,3,$30 and under,French
281,rafele-ristorante-new-york,4.5,436,4.25,15,26,42,105,248,2,4.5,0,0,0,1,1,$31 to $50,Italian
282,essex-new-york,3.5,1876,3.53,159,231,358,719,409,9,3.22,2,2,0,2,3,$30 and under,Other
283,tinys-and-the-bar-upstairs-new-york-2,4.0,528,3.84,36,42,65,210,175,9,3.56,2,1,0,2,4,$31 to $50,Contemporary American
284,baar-baar-new-york-2,4.0,453,4.22,30,20,40,94,269,27,4.26,0,1,4,9,13,$31 to $50,Indian
285,the-musket-room-new-york,4.5,409,4.3,10,27,38,90,244,6,5.0,0,0,0,0,6,$31 to $50,Other
286,delmonicos-new-york,4.0,968,3.8,53,100,169,315,331,11,4.73,0,0,0,3,8,$50 and over,Steakhouse
287,root-and-bone-new-york,4.0,1475,3.94,78,98,226,500,573,17,4.12,0,2,2,5,8,$31 to $50,Other
288,bâtard-new-york,4.0,350,3.96,19,20,63,101,147,14,3.79,0,1,5,4,4,$50 and over,Other Europe
289,left-bank-new-york,3.5,276,3.72,15,29,57,92,83,2,3.5,0,0,1,1,0,$31 to $50,American
290,american-cut-steakhouse-tribeca-new-york,4.0,536,3.88,40,43,78,156,219,10,3.0,2,2,1,4,1,$31 to $50,Steakhouse
291,khe-yo-new-york,4.0,653,3.97,38,42,85,227,261,5,3.4,0,0,3,2,0,$31 to $50,Southeast Asian
292,toloache-thompson-new-york-3,3.5,417,3.74,40,31,73,127,146,3,4.33,0,0,1,0,2,$31 to $50,Mexican
293,nobu-downtown-new-york,3.5,292,3.6,46,24,49,54,119,14,3.64,1,2,3,3,5,$50 and over,Japanese & Koren
294,feast-new-york,4.0,448,4.12,17,23,56,143,209,1,5.0,0,0,0,0,1,$31 to $50,Contemporary American
295,temple-court-new-york,3.5,179,3.66,21,21,27,38,72,13,4.31,0,1,3,0,9,$31 to $50,American
296,pera-soho-new-york,3.5,424,3.39,63,65,62,110,124,6,3.17,2,1,0,0,3,$31 to $50,Mediterranean
297,tribeca-grill-new-york-2,3.5,577,3.5,41,67,153,195,121,0,,0,0,0,0,0,$31 to $50,American
298,fifty-new-york,4.5,127,4.52,1,7,5,26,88,2,5.0,0,0,0,0,2,$31 to $50,Contemporary American
299,dos-caminos-new-york-2,3.0,1473,3.2,182,253,358,452,228,11,2.73,5,1,0,2,3,$31 to $50,Mexican
300,noreetuh-new-york,4.0,393,4.16,4,13,72,133,171,7,3.71,0,2,0,3,2,$31 to $50,American
301,el-toro-blanco-new-york,3.5,375,3.39,51,46,73,116,89,3,2.33,1,0,2,0,0,$31 to $50,Mexican
302,san-carlo-osteria-piemonte-new-york-city,4.5,172,4.45,9,7,8,21,127,4,5.0,0,0,0,0,4,$31 to $50,Italian
303,the-library-at-the-public-new-york,3.5,159,3.73,12,12,29,60,46,3,3.67,1,0,0,0,2,$30 and under,American
304,wolfgang-puck-new-york-4,3.5,68,3.66,5,9,13,18,23,0,,0,0,0,0,0,$31 to $50,Steakhouse
305,osteria-della-pace-new-york,3.0,65,3.17,15,9,7,18,16,2,2.5,1,0,0,1,0,$31 to $50,Italian
306,tuome-new-york-2,4.5,412,4.28,6,18,42,136,210,12,4.17,0,0,3,4,5,$31 to $50,Contemporary American
307,barano-brooklyn,4.5,213,4.46,4,7,22,33,147,8,4.5,0,1,0,1,6,$30 and under,Italian
308,buttermilk-channel-brooklyn,4.0,1811,3.95,76,134,254,686,661,21,3.33,5,1,4,4,7,$31 to $50,American
309,la-loteria-new-york,4.0,290,4.1,15,19,30,85,141,2,5.0,0,0,0,0,2,$31 to $50,Mexican
310,il-mulino-prime-new-york,3.5,135,3.41,17,29,18,24,47,1,5.0,0,0,0,0,1,$50 and over,Italian
311,socarrat-paella-bar-chelsea-new-york-3,4.0,1095,3.76,53,105,180,472,285,10,4.0,1,0,2,2,5,$31 to $50,Spanish
312,la-sirene-new-york,4.5,1557,4.29,33,65,152,481,826,12,4.25,0,1,1,4,6,$31 to $50,French
313,fonda-east-village-new-york-2,4.0,707,3.94,39,49,84,275,260,3,5.0,0,0,0,0,3,$31 to $50,Mexican
314,kingsley-new-york-2,3.5,139,3.53,17,26,20,18,58,3,4.33,0,0,1,0,2,$31 to $50,Contemporary American
315,porsena-new-york,3.5,246,3.53,19,43,43,71,70,4,4.75,0,0,0,1,3,$30 and under,Italian
316,the-palm-tribeca-new-york-2,3.5,260,3.52,17,39,57,86,61,4,3.75,1,0,0,1,2,$50 and over,Steakhouse
317,nickel-and-diner-new-york-2,4.0,370,3.8,29,41,56,92,152,9,4.22,0,1,0,4,4,$31 to $50,American
318,david-burke-kitchen-new-york,4.0,1121,3.75,57,117,212,397,338,14,3.79,1,1,3,4,5,$31 to $50,American
319,il-cortile-restaurant-new-york,3.5,456,3.71,49,48,59,131,169,6,4.67,0,0,1,0,5,$31 to $50,Italian
320,felice-new-york-6,4.0,310,4.11,14,19,29,106,142,7,4.14,0,1,0,3,3,$31 to $50,Italian
321,cipriani-new-york-2,3.5,99,3.56,15,8,14,31,31,0,,0,0,0,0,0,$31 to $50,Italian
322,rosa-mexicano-new-york-3,3.5,1410,3.55,87,184,330,491,318,13,3.08,3,1,3,4,2,$31 to $50,Mexican
323,north-square-new-york,4.0,286,3.83,13,22,48,122,81,0,,0,0,0,0,0,$31 to $50,American
324,edi-and-the-wolf-new-york,4.0,407,3.91,18,38,56,144,151,0,,0,0,0,0,0,$30 and under,Other Europe
325,gran-morsi-new-york,4.5,306,4.32,11,14,23,77,181,5,4.6,0,0,1,0,4,$31 to $50,Italian
326,bistrot-leo-new-york,4.5,29,4.24,1,2,2,8,16,4,3.5,1,0,0,2,1,$31 to $50,French
327,reserve-cut-new-york,4.0,246,3.99,22,25,22,41,136,2,4.0,0,0,1,0,1,$50 and over,Other
328,rice-and-gold-new-york,3.5,269,3.71,28,25,47,66,103,12,4.0,0,1,3,3,5,$31 to $50,Asian
329,thalassa-restaurant-new-york,4.0,379,4.08,26,27,33,97,196,7,5.0,0,0,0,0,7,$31 to $50,Seafood
330,strip-house-speakeasy-new-york,4.0,43,3.81,4,4,4,15,16,1,5.0,0,0,0,0,1,$50 and over,Steakhouse
331,greenwich-steakhouse-new-york,4.5,207,4.46,16,9,5,11,166,17,4.41,0,3,0,1,13,$50 and over,Steakhouse
332,schilling-new-york,4.0,132,4.2,6,6,11,42,67,3,4.0,0,0,1,1,1,$30 and under,Other Europe
333,mortons-the-steakhouse-new-york-2,4.0,476,3.89,28,45,64,151,188,8,4.62,0,0,1,1,6,$50 and over,Steakhouse
334,markjoseph-steakhouse-new-york-2,4.0,376,3.98,18,22,65,117,154,4,4.5,0,0,0,2,2,$50 and over,Steakhouse
335,the-tuck-room-new-york,4.0,212,3.89,26,14,23,43,106,10,4.0,1,0,3,0,6,$30 and under,Other
336,talde-brooklyn,3.5,1036,3.7,77,116,187,317,339,8,3.38,3,0,0,1,4,$30 and under,Asian
337,yellow-magnolia-café-brooklyn,4.0,54,3.83,1,10,10,9,24,1,2.0,0,1,0,0,0,$30 and under,American
338,benchmark-brooklyn,3.5,474,3.47,65,58,77,139,135,4,3.5,0,2,0,0,2,$31 to $50,Contemporary American
339,altesi-downtown-new-york,4.0,40,4.08,1,4,5,11,19,2,3.5,0,1,0,0,1,$31 to $50,Italian
340,the-williamsburg-hotel-brooklyn-2,3.0,153,2.75,63,19,8,20,43,7,2.14,4,1,0,1,1,$30 and under,Contemporary American
341,atrio-wine-bar-and-restaurant-new-york,3.5,82,3.46,11,7,17,27,20,0,,0,0,0,0,0,$31 to $50,Contemporary American
342,bobby-vans-steakhouse-new-york-3,3.5,373,3.45,41,49,78,110,95,3,4.0,0,1,0,0,2,$31 to $50,Steakhouse
343,brasserie-séoul-brooklyn-8,3.5,68,3.31,10,16,8,11,23,7,3.14,1,2,1,1,2,$30 and under,French
344,greenhouse-cafe-brooklyn,3.5,119,3.44,18,16,19,28,38,3,3.67,0,1,0,1,1,$30 and under,Other
345,lorenzos-restaurant-bar-and-cabaret-staten-island,3.0,74,2.96,18,14,12,13,17,0,,0,0,0,0,0,$31 to $50,Italian
